P:Project Key (Charge Code or PACE ID),P:PTN Number,S:FA Number,S:USID,S:Site Name,P:PACE Job Number,S:Address Line 1,S:Address Line 2,S:City,S:State,S:ZIP,S:Latitude,S:Longitude
507406-6952,3551A0T49Z,10086466,16455.00,FWY 10/MILLIKEN,MRLOS070457,"410 SEQUOIA AVENUE,",,ONTARIO,CA,91761,34.06583000,-117.56722000
521517-S00436,3551A0Y6PL,10086742,26372.00,FWY 101 / Etiwanda,MRLOS078386,5525 Etiwanda Ave,,TARZANA,CA,91356,34.17111110,-118.53111110
521517-S00652,3551A0Y68J,10103653,47887.00,First Methodist Church,MRLOS078279,1002 11th Avenue,,Delano,CA,93215,35.77055560,-119.24416670
521517-S00460,3551A0Y6J5,13789244,172678.00,GARCIA,MRLOS078738,1831 EL REY STREET,,ROSAMOND,CA,93560,34.85188300,-118.16345830
521517-S00306,3551A0Y6VZ,10086707,26330.00,GILMORE,MRLOS078304,6355 TOPANGA CANYON BOULEVARD,,WOODLAND HILLS,CA,91367,34.18638890,-118.60666670
521517-S00307,3551A0Y681,10086566,24414.00,GLEN IVY EXIT,MRLOS078699,23900 TEMESCAL CANYON ROAD,,CORONA,CA,92883,33.77480560,-117.48702780
521517-S00485,3551A0Y5XK,10086913,13817.00,GONZALES/HWY1,MRLOS078554,451 WEST GONZALES AVENUE,,OXNARD,CA,93036,34.21966670,-119.18191670
507406-6990,3551A0T5CD,10086683,24317.00,GORMAN PEACE VALLEY,MRLOS070910,"49723 GORMAN SCHOOL RD,",,GORMAN,CA,93243,34.79416000,-118.85130000
521517-S00659,3551A0Y6M0,10085800,12118.00,Glendora,MRLOS078488,510 SOUTH GRAND,,,CA,,34.13030000,-117.87186000
507406-7648,3551A0T4F4,10094731,43332.00,HELENDALE,MRLOS070625,28919 RODEO ROAD,,HELENDALE,CA,92342,34.77883000,-117.25458000
507406-7797,3551A0T3X0,10086621,12332.00,HEMET,MRLOS070837,"40365 TWIN SPRINGS ROAD,",,HEMET,CA,92544,33.71500000,-116.95583000
